datetime,open,high,low,close,volume
2016-01-04T14:00:00Z,165.18,167.27,161.0,161.105,13092
2016-01-04T15:00:00Z,161.01,161.8218,157.54,157.65,27432
2016-01-04T16:00:00Z,157.65,162.18,155.64,161.98,50457
2016-01-04T17:00:00Z,161.64,161.64,160.01,160.47,10557
2016-01-04T18:00:00Z,160.05,160.62,159.1,159.2,31009
2016-01-04T19:00:00Z,159.35,159.96,157.36,158.21,32690
2016-01-04T20:00:00Z,157.83,161.41,157.82,160.88,81467
2016-01-04T21:00:00Z,161.05,161.05,161.05,161.05,12041
2016-01-05T14:00:00Z,161.76,163.66,160.13,160.27,17846
2016-01-05T15:00:00Z,160.0,163.89,159.1,163.89,34240
2016-01-05T16:00:00Z,163.16,163.18,160.2,160.78,23279
2016-01-05T17:00:00Z,160.72,162.62,159.53,162.42,35310
2016-01-05T18:00:00Z,163.04,164.41,162.72,164.22,24361
2016-01-05T19:00:00Z,164.43,164.43,162.03,162.57,18908
2016-01-05T20:00:00Z,162.1,162.72,160.44,161.01,67597
2016-01-05T21:00:00Z,160.92,160.92,160.92,160.92,3338
2016-01-06T14:00:00Z,159.0,161.12,159.0,160.09,12335
2016-01-06T15:00:00Z,161.074,163.12,160.21,161.26,22101
2016-01-06T16:00:00Z,161.59,162.57,160.81,161.42,28980
2016-01-06T17:00:00Z,161.37,162.3,160.455,161.71,14164
2016-01-06T18:00:00Z,160.99,161.71,158.55,158.57,17848
2016-01-06T19:00:00Z,159.4299,160.64,158.37,158.65,23583
2016-01-06T20:00:00Z,158.56,159.4425,157.97,158.0,86304
2016-01-06T21:00:00Z,158.04,158.04,158.04,158.04,12730
2016-01-07T14:00:00Z,155.84,158.45,153.1326,154.24,11787
2016-01-07T15:00:00Z,154.27,155.71,153.475,155.71,22261
2016-01-07T16:00:00Z,155.7599,157.0899,155.25,155.63,14440
2016-01-07T17:00:00Z,155.5,156.68,153.57,153.57,23491
2016-01-07T18:00:00Z,153.4,153.995,151.13,153.33,27031
2016-01-07T19:00:00Z,153.18,153.45,151.32,153.015,75498
2016-01-07T20:00:00Z,153.195,153.34,150.3,150.53,105552
2016-01-07T21:00:00Z,150.53,150.53,150.53,150.53,20640
2016-01-08T14:00:00Z,148.98,153.0,148.06,150.95,37810
2016-01-08T15:00:00Z,151.165,151.56,147.49,151.42,104883
2016-01-08T16:00:00Z,151.5,154.01,150.9,152.41,52049
2016-01-08T17:00:00Z,152.46,153.68,150.49,151.62,40762
2016-01-08T18:00:00Z,151.3,152.2399,150.075,151.83,17946
2016-01-08T19:00:00Z,151.83,152.15,149.455,150.08,33233
2016-01-08T20:00:00Z,150.28,150.28,147.535,147.56,79431
2016-01-08T21:00:00Z,147.66,147.66,147.66,147.66,15295
2016-01-11T14:00:00Z,149.25,152.0,149.06,150.2,16672
2016-01-11T15:00:00Z,149.225,152.52,149.14,151.985,24213
2016-01-11T16:00:00Z,151.62,154.17,151.62,153.82,17888
2016-01-11T17:00:00Z,154.193,155.393,153.6,154.295,34097
2016-01-11T18:00:00Z,154.86,155.01,153.31,153.76,37738
2016-01-11T19:00:00Z,153.85,157.24,153.74,157.16,37669
2016-01-11T20:00:00Z,157.39,159.91,156.51,159.44,71626
2016-01-11T21:00:00Z,159.4,159.4,159.4,159.4,9067
2016-01-12T14:00:00Z,160.18,160.18,158.54,158.72,10246
2016-01-12T15:00:00Z,159.38,163.5,159.38,162.03,25220
2016-01-12T16:00:00Z,162.31,163.61,160.305,163.61,68658
2016-01-12T17:00:00Z,163.5499,163.5499,160.61,161.49,22922
2016-01-12T18:00:00Z,162.19,162.4,160.34,160.69,37209
2016-01-12T19:00:00Z,160.65,161.13,159.45,160.04,31560
2016-01-12T20:00:00Z,160.2,161.79,159.23,161.48,47799
2016-01-12T21:00:00Z,161.24,161.24,161.24,161.24,12476
2016-01-13T14:00:00Z,161.65,161.65,159.735,159.74,7733
2016-01-13T15:00:00Z,159.57,160.11,158.0,158.49,19559
2016-01-13T16:00:00Z,158.55,160.15,158.55,159.13,62865
2016-01-13T17:00:00Z,158.73,158.98,156.42,156.45,29690
2016-01-13T18:00:00Z,156.8,158.07,155.92,156.28,71771
2016-01-13T19:00:00Z,156.42,157.89,153.74,155.68,79207
2016-01-13T20:00:00Z,155.31,156.2,154.27,155.68,32415
2016-01-13T21:00:00Z,155.59,155.59,155.59,155.59,8911
2016-01-14T14:00:00Z,155.59,156.1699,151.75,151.75,42385
2016-01-14T15:00:00Z,152.83,160.0,151.68,158.04,44184
2016-01-14T16:00:00Z,157.23,158.3,155.04,156.84,45743
2016-01-14T17:00:00Z,157.06,159.69,156.93,159.3,6826
2016-01-14T18:00:00Z,159.31,162.11,158.74,161.34,32935
2016-01-14T19:00:00Z,161.29,161.81,160.16,160.86,27059
2016-01-14T20:00:00Z,160.59,161.97,160.46,161.32,63118
2016-01-14T21:00:00Z,161.32,161.34,161.32,161.34,5367
2016-01-15T14:00:00Z,156.55,159.73,155.1291,158.85,44091
2016-01-15T15:00:00Z,158.25,161.1981,157.51,157.51,40295
2016-01-15T16:00:00Z,158.21,160.06,157.69,159.28,38090
2016-01-15T17:00:00Z,159.39,159.39,156.32,156.8,22150
2016-01-15T18:00:00Z,156.475,159.73,156.475,159.73,39910
2016-01-15T19:00:00Z,159.665,160.97,158.14,160.97,20879
2016-01-15T20:00:00Z,160.85,161.35,157.8,158.76,38334
2016-01-15T21:00:00Z,158.76,158.88,158.76,158.88,12744
2016-01-19T14:00:00Z,160.36,161.01,158.15,158.25,31337
2016-01-19T15:00:00Z,159.17,162.65,158.84,158.84,15165
2016-01-19T16:00:00Z,158.81,159.93,157.06,159.93,21910
2016-01-19T17:00:00Z,158.615,158.76,155.57,156.05,26153
2016-01-19T18:00:00Z,156.7699,156.8499,153.27,155.47,34596
2016-01-19T19:00:00Z,154.497,155.4499,153.1,154.32,33272
2016-01-19T20:00:00Z,154.55,157.48,153.95,156.41,37739
2016-01-19T21:00:00Z,156.19,156.19,156.19,156.19,17460
2016-01-20T14:00:00Z,155.22,160.36,153.535,155.67,16936
2016-01-20T15:00:00Z,156.09,157.58,154.22,156.3,61390
2016-01-20T16:00:00Z,156.3,160.0,156.16,159.79,30040
2016-01-20T17:00:00Z,159.38,161.21,156.48,161.21,85360
2016-01-20T18:00:00Z,161.48,163.16,158.06,162.93,36734
2016-01-20T19:00:00Z,162.705,164.37,162.0,163.48,26885
2016-01-20T20:00:00Z,163.46,167.3499,162.93,163.89,51771
2016-01-20T21:00:00Z,163.98,163.98,163.98,163.98,6593
2016-01-21T14:00:00Z,163.98,165.72,159.28,159.46,15312
2016-01-21T15:00:00Z,159.85,164.05,159.03,159.03,66592
2016-01-21T16:00:00Z,159.52,161.14,157.36,159.36,26965
2016-01-21T17:00:00Z,159.805,160.622,158.16,159.28,52592
2016-01-21T18:00:00Z,159.25,159.55,155.61,156.995,65682
2016-01-21T19:00:00Z,157.22,157.23,154.53,155.82,77488
2016-01-21T20:00:00Z,155.98,159.5095,155.83,157.99,56008
2016-01-21T21:00:00Z,158.15,158.15,158.15,158.15,8702
2016-01-22T14:00:00Z,159.91,161.0,156.5,160.98,30367
2016-01-22T15:00:00Z,160.98,164.4,158.82,162.0,24320
