datetime,open,high,low,close,volume
2016-01-04T10:00:00Z,49.43,49.43,49.43,49.43,478
2016-01-04T11:00:00Z,49.48,49.48,49.48,49.48,1000
2016-01-04T12:00:00Z,49.35,49.35,49.35,49.35,100
2016-01-04T13:00:00Z,49.58,49.6,49.19,49.5899,17336
2016-01-04T14:00:00Z,49.36,49.49,48.3,48.725,1863533
2016-01-04T15:00:00Z,48.73,49.09,48.39,48.82,1856323
2016-01-04T16:00:00Z,48.82,49.175,48.65,49.13,1417600
2016-01-04T17:00:00Z,49.125,49.13,48.7,48.83,1273615
2016-01-04T18:00:00Z,48.82,48.85,48.7,48.77,844524
2016-01-04T19:00:00Z,48.76,48.765,48.42,48.5,1394072
2016-01-04T20:00:00Z,48.5,48.7,48.3,48.67,3065648
2016-01-04T21:00:00Z,48.66,48.77,48.66,48.66,577929
2016-01-04T22:00:00Z,48.72,48.77,48.72,48.72,995
2016-01-05T00:00:00Z,48.72,48.73,48.72,48.73,1101
2016-01-05T12:00:00Z,48.25,48.25,48.25,48.25,375
2016-01-05T13:00:00Z,48.65,48.7,48.6,48.68,975
2016-01-05T14:00:00Z,48.8,49.75,45.6,47.71,2494093
2016-01-05T15:00:00Z,47.73,49.26,47.04,48.66,4246378
2016-01-05T16:00:00Z,48.66,48.7,47.68,47.95,1619768
2016-01-05T17:00:00Z,47.95,48.55,47.68,48.4,1198611
2016-01-05T18:00:00Z,48.41,48.66,48.28,48.545,1114568
2016-01-05T19:00:00Z,48.54,48.84,48.435,48.725,1069106
2016-01-05T20:00:00Z,48.73,48.73,48.37,48.57,2084362
2016-01-05T21:00:00Z,48.57,48.71,48.2405,48.71,726128
2016-01-05T22:00:00Z,48.56,48.56,48.41,48.43,1681
2016-01-05T23:00:00Z,48.65,48.65,48.65,48.65,300
2016-01-06T12:00:00Z,48.0,48.0,47.9,48.0,7610
2016-01-06T13:00:00Z,48.0,48.0001,47.58,47.85,36284
2016-01-06T14:00:00Z,47.88,48.76,47.63,48.34,1469181
2016-01-06T15:00:00Z,48.33,48.52,48.11,48.49,1448714
2016-01-06T16:00:00Z,48.5,49.12,48.4624,49.01,1562239
2016-01-06T17:00:00Z,49.01,49.3,48.9,49.0816,794888
2016-01-06T18:00:00Z,49.08,49.09,48.65,48.79,1004769
2016-01-06T19:00:00Z,48.79,48.91,48.38,48.5,1366784
2016-01-06T20:00:00Z,48.5,49.005,48.44,48.94,1966439
