datetime,open,high,low,close,volume
2016-01-04T11:00:00Z,41.93,41.93,41.69,41.69,824
2016-01-04T12:00:00Z,41.62,41.91,41.6,41.9,1600
2016-01-04T13:00:00Z,42.17,42.2,41.7,41.78,4281
2016-01-04T14:00:00Z,41.7,41.98,41.25,41.52,1119328
2016-01-04T15:00:00Z,41.51,41.95,41.1801,41.75,888676
2016-01-04T16:00:00Z,41.74,42.19,41.54,42.14,756225
2016-01-04T17:00:00Z,42.14,42.16,41.89,41.99,570685
2016-01-04T18:00:00Z,41.99,42.065,41.89,41.9425,456390
2016-01-04T19:00:00Z,41.9425,41.95,41.7,41.77,554321
2016-01-04T20:00:00Z,41.77,41.995,41.56,41.97,1066295
2016-01-04T21:00:00Z,41.96,42.0,41.7391,42.0,423356
2016-01-05T14:00:00Z,42.19,42.6,41.89,41.9,978836
2016-01-05T15:00:00Z,41.91,43.08,41.4339,42.79,2114436
2016-01-05T16:00:00Z,42.783,42.91,42.12,42.3,1260668
2016-01-05T17:00:00Z,42.3,42.81,42.11,42.805,749349
2016-01-05T18:00:00Z,42.81,43.0,42.47,42.89,724049
2016-01-05T19:00:00Z,42.89,42.94,42.64,42.71,807486
2016-01-05T20:00:00Z,42.71,42.715,42.34,42.46,1511335
2016-01-05T21:00:00Z,42.46,42.5,42.4224,42.46,1205412
2016-01-05T23:00:00Z,42.6,42.6,42.6,42.6,100
2016-01-06T13:00:00Z,41.75,41.75,41.73,41.75,600
2016-01-06T14:00:00Z,41.7,42.89,41.7,42.57,764370
2016-01-06T15:00:00Z,42.57,43.1,42.46,43.05,777933
2016-01-06T16:00:00Z,43.05,43.5,42.97,43.359,989541
2016-01-06T17:00:00Z,43.35,43.38,43.15,43.17,596137
2016-01-06T18:00:00Z,43.17,43.185,42.83,42.83,585959
2016-01-06T19:00:00Z,42.84,43.05,42.5801,42.6238,655569
2016-01-06T20:00:00Z,42.63,42.925,42.57,42.87,1306547
2016-01-06T21:00:00Z,42.85,42.9066,42.85,42.85,424760
2016-01-07T00:00:00Z,42.82,43.1,42.82,43.1,5150
2016-01-07T13:00:00Z,42.0,42.5,42.0,42.33,3887
2016-01-07T14:00:00Z,42.45,43.15,42.33,42.47,844004
2016-01-07T15:00:00Z,42.48,42.61,42.1232,42.3862,1104286
2016-01-07T16:00:00Z,42.384,42.485,42.13,42.14,836652
2016-01-07T17:00:00Z,42.14,42.36,42.025,42.051,720244
2016-01-07T18:00:00Z,42.0583,42.1,41.56,41.905,771617
2016-01-07T19:00:00Z,41.9,42.23,41.59,42.04,931863
2016-01-07T20:00:00Z,42.03,42.08,41.7,41.95,2449160
2016-01-07T21:00:00Z,41.95,42.111,41.95,42.111,749195
2016-01-07T22:00:00Z,41.95,41.95,41.81,41.9,841
2016-01-08T00:00:00Z,41.85,41.85,41.85,41.85,500
2016-01-08T13:00:00Z,42.87,42.87,42.87,42.87,200
2016-01-08T14:00:00Z,42.42,43.0,42.24,42.57,784947
2016-01-08T15:00:00Z,42.57,42.94,42.3,42.73,1048153
2016-01-08T16:00:00Z,42.73,42.87,42.31,42.66,788569
2016-01-08T17:00:00Z,42.67,42.98,42.665,42.855,562461
2016-01-08T18:00:00Z,42.85,43.06,42.6537,42.88,716036
2016-01-08T19:00:00Z,42.88,43.01,42.43,42.4801,937726
2016-01-08T20:00:00Z,42.48,42.55,42.11,42.22,1951974
2016-01-08T21:00:00Z,42.21,42.5632,42.21,42.21,524738
2016-01-11T14:00:00Z,42.61,42.88,42.25,42.33,534377
2016-01-11T15:00:00Z,42.325,42.455,41.86,41.92,805136
2016-01-11T16:00:00Z,41.92,42.1,41.59,41.97,941699
2016-01-11T17:00:00Z,41.99,42.1356,41.9,42.04,576678
2016-01-11T18:00:00Z,42.04,42.15,41.25,41.3008,721923
2016-01-11T19:00:00Z,41.32,41.81,41.315,41.699,740561
2016-01-11T20:00:00Z,41.7,42.18,41.44,42.04,1351069
2016-01-11T21:00:00Z,42.09,42.13,42.0,42.03,282034
2016-01-11T23:00:00Z,42.03,42.03,42.0299,42.03,300
2016-01-12T13:00:00Z,42.8,42.8,42.8,42.8,158
2016-01-12T14:00:00Z,42.8,42.8,41.33,41.55,789894
2016-01-12T15:00:00Z,41.56,42.61,41.56,42.34,891721
