datetime,open,high,low,close,volume
2016-01-04T11:00:00Z,12.6,12.6,12.33,12.33,435
2016-01-04T12:00:00Z,12.59,12.59,12.4,12.41,1702
2016-01-04T13:00:00Z,12.53,12.6,12.36,12.36,20531
2016-01-04T14:00:00Z,12.56,12.88,12.48,12.77,1612690
2016-01-04T15:00:00Z,12.77,13.0,12.48,12.484,2425761
2016-01-04T16:00:00Z,12.485,12.525,12.38,12.49,1645329
2016-01-04T17:00:00Z,12.49,12.66,12.49,12.585,1079345
2016-01-04T18:00:00Z,12.59,12.81,12.58,12.62,1236930
2016-01-04T19:00:00Z,12.62,12.75,12.59,12.74,1213361
2016-01-04T20:00:00Z,12.745,12.85,12.695,12.83,2763540
2016-01-04T21:00:00Z,12.82,12.85,12.82,12.85,493319
2016-01-04T22:00:00Z,12.86,12.86,12.84,12.84,1500
2016-01-05T13:00:00Z,12.82,12.82,12.82,12.82,500
2016-01-05T14:00:00Z,12.79,12.81,12.39,12.48,1074112
2016-01-05T15:00:00Z,12.47,12.62,12.33,12.5699,1490499
2016-01-05T16:00:00Z,12.56,12.765,12.555,12.6337,1251730
2016-01-05T17:00:00Z,12.635,12.67,12.5,12.639,1453765
2016-01-05T18:00:00Z,12.635,12.705,12.6001,12.6811,916442
2016-01-05T19:00:00Z,12.6899,12.86,12.68,12.73,1008952
2016-01-05T20:00:00Z,12.725,12.775,12.665,12.76,2178216
2016-01-05T21:00:00Z,12.76,12.77,12.76,12.77,386090
2016-01-05T22:00:00Z,12.79,12.83,12.79,12.83,2500
2016-01-05T23:00:00Z,12.8,12.8,12.8,12.8,500
2016-01-06T00:00:00Z,12.89,12.89,12.87,12.87,200
2016-01-06T12:00:00Z,12.5,12.5,12.5,12.5,1000
2016-01-06T13:00:00Z,12.49,12.5,12.27,12.43,10417
2016-01-06T14:00:00Z,12.43,12.43,11.88,11.895,2005163
2016-01-06T15:00:00Z,11.89,11.91,11.5,11.6395,2617132
2016-01-06T16:00:00Z,11.6363,11.79,11.5,11.53,1742596
2016-01-06T17:00:00Z,11.53,11.56,11.465,11.47,1120462
2016-01-06T18:00:00Z,11.4601,11.4605,11.23,11.255,2144791
2016-01-06T19:00:00Z,11.25,11.34,11.16,11.175,1985069
2016-01-06T20:00:00Z,11.18,11.28,11.14,11.28,3662517
