datetime,open,high,low,close,volume
2016-01-04T12:00:00Z,56.01,56.01,56.0,56.0,400
2016-01-04T13:00:00Z,57.3,57.3,55.75,55.75,5262
2016-01-04T14:00:00Z,56.0,56.34,55.15,55.48,899255
2016-01-04T15:00:00Z,55.47,55.68,54.86,55.48,919885
2016-01-04T16:00:00Z,55.48,56.07,55.28,55.92,603461
2016-01-04T17:00:00Z,55.91,55.91,55.53,55.675,632550
2016-01-04T18:00:00Z,55.67,55.78,55.52,55.5796,470027
2016-01-04T19:00:00Z,55.57,55.62,55.1801,55.44,529773
2016-01-04T20:00:00Z,55.44,55.64,55.14,55.63,1122175
2016-01-04T21:00:00Z,55.61,55.67,55.5057,55.67,402677
2016-01-05T14:00:00Z,55.9,56.33,54.32,54.48,790675
2016-01-05T15:00:00Z,54.48,55.87,54.0,55.395,2209798
2016-01-05T16:00:00Z,55.405,55.407,54.38,54.6,858179
2016-01-05T17:00:00Z,54.58,55.06,54.185,55.03,642469
2016-01-05T18:00:00Z,55.04,55.3711,54.73,55.298,500939
2016-01-05T19:00:00Z,55.298,55.45,54.95,55.35,550410
2016-01-05T20:00:00Z,55.35,55.35,54.9,55.07,842119
2016-01-05T21:00:00Z,55.06,55.4,54.8486,55.27,437213
2016-01-05T22:00:00Z,55.27,55.27,55.27,55.27,300
2016-01-05T23:00:00Z,55.06,55.06,55.06,55.06,137100
2016-01-06T14:00:00Z,55.0875,55.28,54.04,54.69,561093
2016-01-06T15:00:00Z,54.69,55.31,54.476,55.27,1001640
2016-01-06T16:00:00Z,55.28,55.47,55.07,55.11,502493
2016-01-06T17:00:00Z,55.11,55.43,54.995,55.12,520289
2016-01-06T18:00:00Z,55.12,55.12,54.77,54.85,421884
2016-01-06T19:00:00Z,54.855,55.195,54.77,54.85,715991
2016-01-06T20:00:00Z,54.875,55.3,54.83,55.19,810073
2016-01-06T21:00:00Z,55.2,55.2,54.9628,54.9628,215224
2016-01-07T14:00:00Z,54.4,54.81,53.29,53.36,629721
2016-01-07T15:00:00Z,53.3388,54.06,53.06,53.62,1007733
2016-01-07T16:00:00Z,53.63,53.795,53.51,53.545,656363
2016-01-07T17:00:00Z,53.54,53.82,53.3,53.32,583133
2016-01-07T18:00:00Z,53.31,53.32,52.62,53.01,900229
2016-01-07T19:00:00Z,53.01,53.36,52.76,53.07,552169
2016-01-07T20:00:00Z,53.06,53.08,52.34,52.61,1427074
2016-01-07T21:00:00Z,52.61,53.2652,52.59,52.63,263435
2016-01-07T22:00:00Z,52.5,52.5,52.45,52.45,1000
2016-01-07T23:00:00Z,52.21,52.21,52.21,52.21,1000
2016-01-08T13:00:00Z,53.6,53.6,53.6,53.6,1585
2016-01-08T14:00:00Z,53.55,54.01,52.93,53.67,986209
2016-01-08T15:00:00Z,53.66,53.69,52.99,53.29,569311
2016-01-08T16:00:00Z,53.29,53.39,52.49,52.745,628838
2016-01-08T17:00:00Z,52.7675,53.04,52.415,52.61,655919
2016-01-08T18:00:00Z,52.61,52.95,52.385,52.62,518420
2016-01-08T19:00:00Z,52.62,52.81,51.92,52.2,743607
2016-01-08T20:00:00Z,52.215,52.33,51.76,51.87,1675166
2016-01-08T21:00:00Z,51.89,52.5678,51.72,51.89,502017
2016-01-08T22:00:00Z,51.63,51.63,51.63,51.63,1000
2016-01-08T23:00:00Z,51.87,51.89,51.87,51.89,2921
2016-01-09T00:00:00Z,51.89,51.89,51.89,51.89,579
2016-01-11T14:00:00Z,52.2,52.55,51.83,52.0,407220
2016-01-11T15:00:00Z,51.96,52.16,51.43,51.49,802416
2016-01-11T16:00:00Z,51.49,51.85,51.41,51.58,1093236
2016-01-11T17:00:00Z,51.61,51.7,51.25,51.43,641667
2016-01-11T18:00:00Z,51.45,51.51,50.35,50.5801,913787
2016-01-11T19:00:00Z,50.6,51.17,50.56,51.14,995705
