datetime,open,high,low,close,volume
2016-01-04T09:00:00Z,78.08,78.08,77.3,77.3,7850
2016-01-04T10:00:00Z,77.3,77.3,77.3,77.3,200
2016-01-04T11:00:00Z,77.3,77.3,77.1,77.1,200
2016-01-04T12:00:00Z,76.9,77.29,76.9,77.05,8300
2016-01-04T13:00:00Z,77.25,77.48,77.23,77.3,14165
2016-01-04T14:00:00Z,77.2,77.94,77.2,77.696,1895444
2016-01-04T15:00:00Z,77.69,77.78,76.591,76.5999,3351826
2016-01-04T16:00:00Z,76.6,76.83,76.47,76.665,2329393
2016-01-04T17:00:00Z,76.67,76.895,76.455,76.78,1810254
2016-01-04T18:00:00Z,76.77,77.18,76.7,77.045,1659697
2016-01-04T19:00:00Z,77.04,77.045,76.65,76.9798,1627671
2016-01-04T20:00:00Z,76.98,77.47,76.8,77.46,3177584
2016-01-04T21:00:00Z,77.45,77.5,77.45,77.46,4432226
2016-01-04T22:00:00Z,77.6,77.65,77.53,77.53,4000
2016-01-04T23:00:00Z,77.6,77.65,77.54,77.65,975
2016-01-05T00:00:00Z,77.64,77.64,77.64,77.64,150
2016-01-05T10:00:00Z,77.04,77.04,77.0,77.0,7600
2016-01-05T11:00:00Z,77.0,77.0,77.0,77.0,2170
2016-01-05T12:00:00Z,76.99,77.0,76.8,77.0,4030
2016-01-05T13:00:00Z,76.95,77.94,76.95,77.94,7217
2016-01-05T14:00:00Z,77.67,77.79,77.1,77.26,1645971
2016-01-05T15:00:00Z,77.26,77.51,76.9223,77.42,1376471
2016-01-05T16:00:00Z,77.42,77.57,77.09,77.23,946535
2016-01-05T17:00:00Z,77.23,77.23,77.0,77.11,793452
2016-01-05T18:00:00Z,77.12,77.54,77.07,77.5,905378
2016-01-05T19:00:00Z,77.51,78.0,77.48,77.786,1095938
2016-01-05T20:00:00Z,77.78,78.14,77.64,78.11,2640248
2016-01-05T21:00:00Z,78.11,78.41,78.1,78.2,2546518
2016-01-05T22:00:00Z,78.39,78.39,78.39,78.39,300
2016-01-05T23:00:00Z,78.28,78.28,78.18,78.18,1270
2016-01-06T12:00:00Z,76.85,77.05,76.36,76.36,23516
2016-01-06T13:00:00Z,76.55,77.05,76.45,76.62,32969
2016-01-06T14:00:00Z,76.6501,77.25,76.45,77.15,1858188
2016-01-06T15:00:00Z,77.14,77.52,76.655,76.86,2759392
2016-01-06T16:00:00Z,76.85,77.54,76.84,77.13,2222188
2016-01-06T17:00:00Z,77.14,78.1591,77.06,77.485,1790877
2016-01-06T18:00:00Z,77.49,77.6,76.96,77.03,1609518
2016-01-06T19:00:00Z,77.02,77.5,76.86,76.92,1798509
2016-01-06T20:00:00Z,76.93,77.58,76.875,77.49,4083419
2016-01-06T21:00:00Z,77.47,77.5,77.47,77.47,2371776
2016-01-06T22:00:00Z,77.53,77.53,77.53,77.53,1000
2016-01-06T23:00:00Z,77.54,77.54,77.54,77.54,1000
2016-01-07T00:00:00Z,77.65,77.65,77.6,77.6,300
