,AAL,DAL,LUV,ALGT,UAL,CVX,MRO,MUR,XOM,DVN,SPY,TLT
AAL,-6.776263578034403e-21,-2.6762377011362768e-06,-1.920582266718692e-06,1.879004417826342e-05,-2.21323575350918e-06,1.721211695370912e-05,1.4066330213574638e-05,1.6755743632375768e-05,2.1078602720323544e-05,1.9391827515654997e-05,-2.5228346554101716e-05,2.384901444381053e-05
DAL,2.9565313159960866e-05,-6.776263578034403e-21,1.7756590788620957e-05,3.6048882931174975e-05,1.8016704624566524e-05,3.457006084073453e-05,3.3345681583001274e-05,3.47047827510903e-05,3.787451670086938e-05,3.683337086780979e-05,2.232894149948544e-06,3.987396212765173e-05
LUV,3.4591444817020025e-05,2.4018655436588697e-05,3.4728350837426314e-20,3.9564391890250796e-05,2.4573145613087692e-05,3.789516188194048e-05,3.6902821075188824e-05,3.810493125482969e-05,4.138605385230441e-05,3.981540421443432e-05,7.872837510970111e-06,4.339278918589444e-05
ALGT,4.011067681668049e-06,-2.927827835169856e-06,-5.197102864270168e-06,-8.470329472543003e-21,-4.073264134911778e-06,7.876332065293516e-06,7.36370537873878e-06,7.1177174814300994e-06,9.919649278452232e-06,8.902620114769002e-06,-1.8399244740603507e-05,1.1200073946002956e-05
UAL,3.219652868182868e-05,2.0185380152826733e-05,2.0568656943390814e-05,3.839684644387453e-05,-8.131516293641283e-20,3.731498004528218e-05,3.5819620130676075e-05,3.650385101527645e-05,4.056915997273416e-05,3.871154461533124e-05,4.873347314168216e-06,4.261771084775391e-05
CVX,1.978663228167162e-05,1.7248896405630725e-05,1.6274009139692428e-05,2.1301271995489233e-05,1.7418718302740132e-05,2.541098841762901e-20,6.422005775406442e-06,1.0326362983834265e-05,1.770939894933881e-05,1.5064234516481116e-05,-1.316283001691216e-05,2.261415402741792e-05
MRO,7.899352658636953e-05,7.558624607656305e-05,7.442259870969106e-05,8.244170001533826e-05,7.54897514564346e-05,6.297815785596324e-05,1.0164395367051604e-19,4.9226965657468504e-05,7.69238044279435e-05,6.232757167338463e-05,2.7104475974140686e-05,8.490329996675449e-05
MUR,5.8723392589656313e-05,5.512368549591289e-05,5.372020102245987e-05,6.117742290492985e-05,5.384682858252254e-05,4.3680542650904086e-05,2.045645805447062e-05,-1.6940658945086007e-20,5.6951206769963365e-05,4.2564709546984015e-05,1.3915644974898266e-05,6.360841997295377e-05
XOM,5.509956411330923e-06,3.923397856598217e-06,3.2497557431241613e-06,6.7693343769900425e-06,4.017786726589753e-06,-3.6360515569828634e-06,-5.45718930552025e-06,-1.5734327209626959e-06,1.6940658945086007e-21,1.949642219189737e-06,-2.673594550390338e-05,7.901863637978652e-06
DVN,3.1646972152995964e-05,2.884838278649546e-05,2.6045869322509278e-05,3.408659720618317e-05,2.6805883178228167e-05,1.6705291586989217e-05,-7.81145092559066e-06,2.1424969661913884e-06,2.9665966084327843e-05,1.6940658945086007e-20,-1.532018815524667e-05,3.639786672886813e-05
SPY,5.31009781437524e-05,5.042474786677306e-05,5.000754774689297e-05,5.472408554296524e-05,5.0543862418712975e-05,5.0839391519244954e-05,4.979458283309693e-05,5.154160545087569e-05,5.3834277840675515e-05,5.3073815289350996e-05,-2.1175823681357508e-20,5.645536546001066e-05
TLT,4.393166361027845e-06,5.182084451002487e-06,5.271593301562689e-06,3.79436593326326e-06,5.2598781064064185e-06,4.930612196895244e-06,5.849718832529629e-06,4.952140193745418e-06,4.098931279694776e-06,4.481820722734472e-06,1.588828971564909e-05,-8.470329472543003e-21
