,AAL,DAL,LUV,ALGT,UAL,CVX,MRO,MUR,XOM,DVN,SPY,TLT
AAL,3.049318610115481e-20,-2.7596371367429187e-05,-2.5823693649568248e-05,-1.656079315125844e-05,-2.148408800697868e-05,-2.8655869259539413e-06,-7.330123868162302e-06,-2.6252586462570417e-06,5.359223810469593e-06,-1.98015762693956e-06,-4.967223206441782e-05,5.220747638495336e-06
DAL,3.567250364228551e-05,-9.317362419797304e-21,1.23813466248803e-05,2.1953216370489415e-05,1.756083112418781e-05,3.30306690003246e-05,3.0109392532076565e-05,3.3498695132368744e-05,3.9536497849150565e-05,3.395446664865264e-05,-4.550804026174921e-06,3.932078728954404e-05
LUV,3.9477392104819095e-05,2.005164219418885e-05,-7.115076756936123e-20,2.6899440340561385e-05,2.5386224721964385e-05,3.7077409292376146e-05,3.450757912917338e-05,3.75184392226501e-05,4.270846905516962e-05,3.781109152869819e-05,4.854773546276167e-06,4.227572017102393e-05
ALGT,3.92825007253238e-05,2.586977430383488e-05,2.4565534926710247e-05,-8.131516293641283e-20,2.8510484554738893e-05,3.7889036311931126e-05,3.593141520035711e-05,3.751256566953366e-05,4.127321427745263e-05,3.7968826948302864e-05,1.330651609781556e-05,4.104413815474126e-05
UAL,3.193838801506312e-05,4.98218051802893e-06,6.794698708539749e-06,1.5534313659395316e-05,-3.8963515573697816e-20,2.8879107724134286e-05,2.5392084550460746e-05,2.9204002792502293e-05,3.629725304592528e-05,2.9765532378610262e-05,-1.2017486703943285e-05,3.592563373868649e-05
CVX,9.554059678667117e-06,3.695318276669802e-06,3.2895854536276754e-06,6.346533729585558e-06,4.99342181017118e-06,3.6422416731934915e-20,2.781216964618395e-07,5.563806792732244e-06,1.537836314914978e-05,6.14915704084294e-06,-2.177833694979822e-05,1.23679500813376e-05
MRO,4.5627694228870485e-05,3.4981859987901796e-05,3.430536580052565e-05,3.908289434164828e-05,3.7221919951184913e-05,3.70556259040789e-05,6.098637220230962e-20,3.4752332085585195e-05,5.465714496116288e-05,3.642341299850218e-05,-2.279950947119812e-06,5.103748455224894e-05
MUR,2.24034666694406e-05,1.2063540364489843e-05,1.1464905562967842e-05,1.4142391553156842e-05,1.3769932202383004e-05,1.4077267138274191e-05,-2.0447113051735595e-06,2.710505431213761e-20,3.053840941267373e-05,1.332871768714362e-05,-1.957290936871053e-05,2.7003094800797253e-05
XOM,-9.651998742216787e-06,-1.5775027960625376e-05,-1.5854796883977758e-05,-1.2792125938398015e-05,-1.4266893764050933e-05,-1.4964152697437801e-05,-1.845701675831381e-05,-1.314116741068483e-05,-1.1858461261560205e-20,-1.261195623920288e-05,-4.2948815550068514e-05,-6.631468095922397e-06
DVN,1.6525359071741306e-05,6.462887618658109e-06,5.265549346118326e-06,8.988760285401024e-06,8.109654415416866e-06,8.114882207127663e-06,-7.922019395877143e-06,5.799957662001938e-06,2.468747335457276e-05,-1.4568966692773966e-19,-2.649121883258474e-05,2.1244733436359933e-05
SPY,4.629886564324466e-05,4.1149603099878e-05,4.09802664634314e-05,4.2891565915732556e-05,4.2522260919226204e-05,4.429575594058149e-05,4.296341879839791e-05,4.504570452906631e-05,4.875380973456846e-05,4.5221287294798424e-05,-5.082197683525802e-21,4.9088878132789155e-05
TLT,9.958948649740598e-06,1.145712195023306e-05,1.1332022416345784e-05,1.06669058586963e-05,1.1045873818138587e-05,1.0597982777408723e-05,1.1299675665129064e-05,1.0448854265820315e-05,9.170369242148086e-06,1.0383428097922588e-05,1.9911139366588575e-05,-1.1011428314305904e-20
