,AAL,DAL,LUV,ALGT,UAL,CVX,MRO,MUR,XOM,DVN,SPY,TLT
AAL,0.9999999999999993,0.7894386164446692,0.6715378481302525,0.44215162506946926,0.6901679266406298,0.39227731540984706,0.18005032775698948,0.15701414558836754,0.4653816655671522,0.1736848406392303,1.0904304897099997,-0.43243416884748365
DAL,0.49612411932774514,0.9999999999999989,0.5962211048478505,0.3584864449299734,0.571911125797669,0.3207694771156848,0.1313267062717381,0.11639652068260932,0.35747229240909795,0.13009523197116163,0.8767266267376537,-0.3211481884335743
LUV,0.3875960472476795,0.5475757609757731,1.0000000000000016,0.3270844201546702,0.445001746275164,0.28534526537555127,0.11619498968552537,0.10245139553419187,0.3015778846280833,0.12098850747220567,0.7538619469723968,-0.24566888019913957
ALGT,0.2935752585389783,0.37874681633895735,0.3762696936765617,1.0000000000000022,0.3401044536524773,0.17225483721344229,0.07900122869408503,0.09024299925503657,0.1804644930311443,0.09471943917120573,0.5656484472534655,-0.15001899855155215
UAL,0.5770301791608758,0.7608522437585462,0.6446093865841687,0.4282603299962902,0.9999999999999999,0.37169653432089256,0.15439946146089778,0.14448302436636656,0.40156082903373486,0.16173920271311978,0.9587811671996836,-0.3477294305186146
CVX,0.127125755394991,0.1654098675685817,0.1602146326007742,0.08407435652828762,0.14407383254166845,1.0000000000000004,0.20480134147683088,0.18151199879955787,0.5993658381750748,0.2103615769642541,0.6777466896674725,-0.27160418418432825
MRO,0.2596034728233386,0.3012989785935845,0.2902653118893322,0.1715545342110163,0.26626777429837467,0.911190171408216,0.9999999999999988,0.49114356677131255,0.9231025449445169,0.5639984356144816,1.0375887662918488,-0.5207453329920706
MUR,0.2479979080098701,0.2925346141590272,0.28036143283067405,0.2146715694475957,0.27294950195103784,0.8846555862339623,0.538023338843108,0.9999999999999989,0.8302784315622307,0.555620346028478,0.909539630243477,-0.4402079184791363
XOM,0.14162094548606263,0.17309663726847418,0.15900429873626515,0.08271071197273411,0.14615908223844362,0.5628204302513238,0.1948280961191749,0.1599678615060919,1.0000000000000004,0.18459678960745124,0.7203693520786933,-0.29106696014857947
DVN,0.23880165703884507,0.2846196151122551,0.2882110954106195,0.19614006414619756,0.2659787647281296,0.8924861541350105,0.5378197410456226,0.4836646256567192,0.8340293718867775,0.9999999999999991,0.931771621220161,-0.4531325709321703
SPY,0.11367289617182513,0.1454290479394918,0.13615760883498038,0.08880906783053008,0.11954589804990233,0.21801480748443675,0.07501836908230397,0.06003041261770059,0.24677203724858343,0.07064688156424667,1.0000000000000007,-0.2704570417650289
TLT,-0.035866658783863394,-0.0423842420258551,-0.03530304938413021,-0.01873997271481803,-0.03449598999722797,-0.06951315859497154,-0.029955717306547468,-0.023116364403140206,-0.07933148958650962,-0.027335106943537277,-0.21518414722017276,1.0
